time,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
91,15,32,0,55,89,28,70,81,21,96,39,13,26
92,38,81,0,51,48,22,43,58,72,81,17,40,26
93,27,53,0,49,70,70,35,41,84,40,71,53,36
94,67,78,6,42,96,81,55,75,84,48,60,40,54
95,54,24,9,48,91,85,50,68,63,10,80,63,35
96,46,65,2,72,31,72,41,94,67,59,58,32,0
97,13,80,0,65,86,80,58,84,88,13,76,20,1
98,19,58,0,30,78,77,49,62,74,26,56,42,19
99,21,72,0,38,85,51,46,52,116,88,50,43,38
100,14,71,0,71,67,23,37,68,52,105,58,47,20
101,30,73,0,79,80,33,39,63,55,84,64,68,43
102,45,46,1,42,61,67,17,75,20,86,86,43,52
103,7,40,7,40,33,54,59,69,49,82,72,22,54
104,12,3,3,43,78,52,39,48,92,39,39,47,35
105,41,3,0,45,98,32,53,56,98,87,34,66,12
106,63,56,0,57,62,63,66,58,98,83,18,70,3
107,8,71,0,52,32,19,41,72,46,107,2,46,2
108,73,72,0,14,15,84,17,63,89,77,40,29,33
109,33,27,0,48,42,96,13,36,74,59,90,30,41
110,10,40,0,28,108,68,29,78,50,19,11,39,3
111,28,55,18,66,88,54,24,73,45,61,31,51,1
112,33,28,0,25,53,28,40,71,77,76,33,1,52
113,24,80,0,45,41,63,33,90,95,2,56,10,7
114,61,67,0,51,106,25,32,70,78,0,56,27,10
115,22,20,0,50,8,48,22,72,39,13,19,0,34
116,9,12,6,69,23,55,59,76,113,58,70,54,33
117,6,19,21,51,94,61,41,75,94,22,28,36,57
118,21,88,11,48,65,76,36,64,94,55,57,73,18
119,1,36,21,42,95,69,30,45,71,94,73,56,49
120,27,56,2,45,78,23,30,68,65,62,62,44,24
121,0,78,0,61,62,3,27,81,66,63,54,0,10
122,22,78,11,56,110,39,23,30,73,99,13,26,13
123,39,26,37,27,82,76,20,47,58,73,53,0,51
124,38,62,0,44,68,53,23,90,77,81,18,0,40
125,21,16,23,58,64,17,49,69,90,87,26,0,33
126,10,32,56,17,62,72,27,10,27,98,47,0,25
127,42,48,54,38,34,85,50,20,12,91,82,8,53
128,47,67,49,53,93,89,31,8,29,58,51,28,33
129,30,66,31,58,89,67,33,69,52,40,47,59,0
130,28,77,54,42,63,9,32,90,36,76,56,9,30
131,32,52,16,50,97,67,44,77,107,69,26,12,22
132,51,72,48,11,91,73,42,77,70,67,79,60,44
133,19,69,2,20,69,28,25,58,79,78,49,72,52
134,39,31,7,44,66,71,39,40,77,61,41,35,13
135,6,56,34,16,5,48,34,54,89,71,67,31,32
136,39,85,8,25,0,48,35,76,81,70,17,37,18
137,11,79,45,41,57,84,78,73,64,16,46,19,6
138,49,74,43,63,75,89,5,43,113,51,61,49,47
139,41,4,57,67,53,55,22,58,110,56,39,26,10
140,12,26,48,57,87,39,40,85,98,30,68,24,22
141,2,72,18,45,66,0,23,76,100,53,33,21,3
142,11,35,4,49,75,2,67,77,54,101,0,83,81
143,18,12,53,61,100,31,19,69,0,90,0,36,86
144,4,18,42,40,92,50,45,22,27,68,0,41,34
145,37,0,22,58,47,66,27,17,53,35,52,0,37
146,58,32,19,53,90,44,71,36,62,64,23,12,33
147,35,52,47,36,76,85,63,54,44,67,63,60,23
148,36,28,38,14,51,47,20,39,91,76,56,84,24
149,43,62,37,62,79,0,44,72,98,47,37,59,79
150,37,98,46,59,70,48,58,69,86,98,61,22,10
151,9,76,47,74,74,77,42,74,86,95,47,77,31
152,32,49,26,48,57,30,58,84,62,70,61,13,54
153,44,46,9,74,40,34,45,59,49,0,5,47,40
154,30,36,38,45,91,82,45,73,58,0,0,75,55
155,26,33,44,40,114.3688469,39,52,68,95,21,0,46,34
156,15,30,9,58,114.3688469,40,56,41,77,52,4,9,35
157,22,17,59,61,81,78,38,55,80,11,18,0,36
158,32,35,43,51,30,77,31,37,74,100,63,17,36
159,15,86,44,53,86,77,43,37,100,81,30,23,0
160,50,84,39,50,105,36,63,71,81,66,83,31,9
161,44,6,73,72,91,14,47,71,83,8,47,17,11
162,31,0,31,55,99,88,18,60,54,15,55,63,17
163,36,14,9,60,86,72,57,69,82,8,43,34,47
164,23,91,37,60,14,66,35,61,77,32,44,4,24
165,22,90,60,43,23,82,12,73,26,110,56,17,36
166,14,85,51,32,100,31,44,81,8,78,61,48,59
167,51,61,63,41,70,47,49,29,3,92,54,54,52
168,0,90,48,35,50,14,38,70,84,77,74,60,78
169,0,79,65,0,76,1,28,31,76,86,98,40,5
170,0,73,18,5,76,49,31,72,74,99,9,37,42
171,19,72,16,68,69,68,15,64,78,90,41,39,37
172,42,90,49,76,96,77,42,80,74,101,79,19,68
173,29,47,32,35,66,68,16,60,104,28,54,60,49
174,14,94,10,45,56,81,61,45,89,80,102,9,42
175,17,57,22,5,94,49,48,63,68,66,16,0,66
176,24,50,13,67,81,35,37,62,51,69,1,0,32
177,12,40,9,72,84,60,37,44,86,26,8,5,8
178,10,83,25,29,38,33,46,59,66,33,0,58,1
179,41,91,34,50,7,42,70,19,84,14,0,60,23
180,8,66,20,46,22,24,33,34,48,23,8,63,31
181,67,58,8,5,87,52,13,12,31,74,56,14,51
182,38,88,31,42,72,33,30,4,16,25,0,0,44
183,22,87,40,6,99,47,34,87,22,51,0,51,38
184,20,64,68,52,40,15,30,87,9,29,0,76,18
185,12,33,56,31,30,52,39,74,51,78,0,16,57
186,63,15,76,64,114.3688469,76,28,69,80,90,0,33,30
187,31,72,47,47,102,40,79,65,84,52,0,69,26
188,34,75,2,63,2,7,41,45,84,88,0,65,61
189,6,81,43,53,0,61,56,29,34,52,0,75,21
190,51,35,18,49,67,53,37,29,36,91,0,72,60
191,31,48,21,48,93,53,60,42,45,60,0,29,74
192,46,91,11,47,71,23,75,0,65,68,0,7,40
193,18,97,29,54,79,0,28,0,78,61,0,2,68
194,30,90,0,38,75,0,45,0,40,48,45,8,29
195,7,88,22,44,71,14,18,18,79,27,54,5,2
196,0,59,40,70,68,36,40,67,35,22,51,23,49
197,4,81,33,51,87,14,23,65,61,26,73,5,62
198,22,59,47,76,90,80,41,45,88,53,34,35,53
199,29,86,28,58,89,81,42,61,58,0,6,43,16
200,2,76,28,70,79,90,28,69,94,0,59,52,10
201,14,82,38,37,79,53,55,50,84,0,43,77,9
202,17,15,33,29,108,68,23,73,45,6,76,72,0
203,45,61,10,0,114.3688469,77,28,69,38,55,63,7,10
204,20,46,13,48,99,84,50,63,63,43,37,52,59
205,60,75,28,33,24,82,32,51,84,0,68,97,74
206,34,84,33,53,14,39,68,53,88,0,45,12,29
207,40,60,26,34,48,30,15,53,81,18,26,3,35
208,54,75,0,36,106,6,42,102,61,20,52,4,29
209,38,91,48,22,74,41,47,57,63,49,31,9,6
210,77,83,45,40,53,35,34,64,95,103,0,68,0
211,43,61,11,0,95,78,29,50,89,82,0,38,0
212,4,23,25,0,79,80,50,81,43,73,59,9,33
213,38,34,52,31,72,89,78,58,94,76,60,47,14
214,55,95,25,74,92,47,47,52,16,93,51,12,1
215,51,71,30,67,68,52,39,54,38,50,35,22,10
216,36,87,36,45,74,9,26,39,93,79,54,4,0
217,14,15,11,0,94,0,91,73,69,78,58,0,2
218,35,0,10,9,99,30,31,70,71,15,32,16,27
219,14,25,38,19,52,38,77,45,66,51,44,47,2
220,52,93,39,41,67,3,7,59,65,56,28,36,3
221,53,92,13,57,87,21,36,68,81,61,87,24,9
222,33,92,42,55,85,0,35,64,73,33,62,57,0
223,19,81,26,37,86,46,28,80,66,52,0,43,0
224,48,86,24,61,57,16,60,70,68,47,23,65,0
225,33,79,35,49,89,72,43,70,23,79,0,52,0
226,42,53,30,53,48,62,39,59,59,93,0,11,0
227,27,0,43,55,8,40,24,28,61,52,7,7,0
228,40,0,74,72,0,90,47,54,14,73,44,0,26
229,41,0,20,69,42,102,41,40,13,20,65,59,0
230,18,31,47,12,67,73,43,42,17,0,62,41,0
231,20,50,44,3,72,52,23,82,39,0,65,22,0
232,29,81,49,29,94,84,52,64,87,0,31,11,0
233,23,74,53,52,46,61,69,64,44,14,51,65,0
234,9,70,38,72,48,71,1,67,0,46,88,67,0
235,33,62,32,73,0,60,53,74,20,54,70,6,0
236,21,93,0,53,70,29,43,70,57,41,10,47,0
237,12,55,13,32,80,14,63,87,51,2,49,51,0
238,24,69,23,31,87,72,26,54,61,0,55,44,2
239,10,67,30,51,65,72,42,83,95,47,86,39,0
240,5,45,24,51,1,107,39,67,116,30,26,38,11
241,45,40,27,59,16,45,29,77,73,37,45,30,0
242,59,38,28,22,72,40,25,77,62,12,73,0,0
243,58,99,7,11,44,75,65,79,76,56,19,7,0
244,45,89,11,18,69,61,41,45,98,82,0,28,0
245,22,74,0,36,87,8,38,63,14,51,0,26,0
246,4,79,17,50,59,66,50,62,55,19,0,0,0
247,18,49,10,40,51,72,13,65,83,55,0,0,5
248,45,0,4,28,64,62,20,95,88,33,2,0,12
249,23,39,34,4,77,104,46,58,95,18,31,0,6
250,16,61,16,0,60,39,41,78,53,73,79,0,14
251,9,74,28,23,99,27,58,64,101,75,94,1,4
252,17,73,2,45,34,16,44,61,82,59,67,0,0
253,46,63,42,55,67,30,62,52,11,55,40,10,5
254,3,63,45,56,71,20,28,75,78,2,6,21,10
255,23,74,67,17,46,18,29,61,133.0379012,14,38,67,0
256,26,64,21,48,89,14,5,82,68,13,57,0,0
257,38,81,35,36,98,51,25,66,11,46,38,0,0
258,14,40,45,58,107,86,41,51,111,75,49,0,0
259,16,35,36,28,82,69,42,61,102,84,52,31,10
260,12,43,3,60,87,70,19,84,80,25,6,44,30
261,33,72,21,81,62,64,53,94,61,34,30,74,31
262,13,55,3,59,72,94,15,9,52,49,39,36,7
263,0,81,0,58,24,92,18,57,62,16,41,8,27
264,2,76,10,6,31,30,31,85,76,7,36,0,41
265,7,58,36,0,66,89,37,54,95,31,83,0,34
266,7,70,45,3,90,25,46,73,87,0,31,16,55
267,86,68,19,51,41,105,46,66,0,10,8,38,33
268,23,79,54,51,0,95,42,81,11,19,61,18,62
269,24,78,26,64,7,96,36,71,61,0,16,20,58
270,24,77,8,40,60,66,10,67,72,62,31,8,20
271,27,28,27,44,37,48,5,74,131,81,1,25,27
272,26,22,13,49,80,66,22,47,100,23,37,26,24
273,5,44,25,44,79,64,15,40,111,2,5,37,44
274,29,81,54,64,43,58,40,41,36,59,33,26,38
275,30,71,21,55,63,45,53,68,72,13,47,22,58
276,40,79,20,22,84,43,67,90,76,20,50,33,44
277,31,67,37,6,65,61,55,89,81,25,37,35,40
278,9,34,17,19,85,35,11,56,72,115,41,61,2
279,15,0,13,53,109,53,25,32,70,84,34,48,0
280,12,35,15,61,91,61,69,65,61,47,59,68,10
281,20,93,10,52,57,15,17,81,89,94,48,23,28
282,0,10,16,53,59,32,19,60,33,107,57,18,20
283,5,53,14,56,53,83,38,77,110,90,40,7,8
284,16,53,17,22,95,58,24,44,42,61,6,58,10
285,18,72,0,44,86,60,47,58,43,9,44,42,0
286,42,46,8,54,92,45,39,40,49,0,65,60,19
287,30,50,13,87,62,42,16,75,51,0,53,61,26
288,36,19,6,66,39,10,24,57,90,0,93,38,20
289,2,4,18,63,50,39,66,60,67,64,54,15,0
290,19,63,17,68,52,113,30,60,49,37,11,28,2
291,23,29,0,62,43,68,9,63,103,26,69,16,67
292,0,71,0,40,71,65,47,62,90,0,57,67,6
293,0,73,5,58,103,67,41,38,32,15,67,7,24
294,0,71,0,31,100,4,65,57,75,8,36,66,15
295,0,50,0,27,40,17,40,63,112,18,49,29,21
296,0,50,18,55,64,58,0,57,62,86,15,26,15
297,0,62,13,45,49,88,36,43,82,33,15,50,17
298,0,59,27,26,65,92,34,79,101,33,32,39,50
299,0,61,13,61,62,106,25,66,46,23,0,19,17
300,0,42,8,68,12,68,43,83,94,2,10,18,35
301,0,82,6,57,1,68,33,68,65,0,0,12,35
302,0,81,12,55,11,52,21,93,19,21,12,6,2
303,0,31,7,19,22,60,20,34,1,0,0,26,7
304,0,11,1,12,19,82,54,42,0,0,60,72,1
305,0,31,0,25,0,70,43,79,0,3,6,66,10
306,0,81,0,34,7,36,16,61,34,3,0,61,67
307,0,81,0,66,12,58,50,54,85,2,0,40,53
308,0,42,0,40,18,59,20,9,60,0,15,37,21
309,0,2,0,63,11,19,40,24,16,0,0,61,32
310,0,20,13,65,15,24,39,17,72,0,12,4,22
311,0,83,0,53,28,21,40,5,69,44,0,8,15
312,0,69,0,48,61,14,32,14,98,14,7,6,27
313,0,81,0,18,63,68,37,18,69,6,0,25,27
314,0,43,0,24,85,86,10,45,86,2,0,18,13
315,0,63,19,54,90,32,51,79,78,0,8,21,21
316,0,38,39,8,58,68,35,75,59,0,0,27,38
317,0,77,20,33,74,31,34,74,21,0,0,18,45
318,0,39,44,55,49,71,25,63,0,1,0,35,28
319,5,0,24,59,39,79,63,76,57,0,0,0,42
320,3,15,26,46,58,42,59,39,65,0,0,55,69
321,10,28,0,73,83,79,48,70,60,3,0,39,30
322,8,27,9,49,91,61,75,55,28,8,0,17,39
323,0,84,28,57,101,73,47,72,84,0,0,0,51
324,0,57,19,18,51,93,55,62,34,0,19,38,23
325,0,46,2,26,58,87,58,56,0,0,0,13,46
326,0,71,9,42,12,58,58,75,7,0,0,20,6
327,0,73,2,41,2,73,48,77,0,0,0,37,41
328,0,41,6,50,53,31,30,81,1,0,0,39,48
329,0,32,0,56,68,52,58,66,5,0,3,0,35
330,0,79,27,52,108,6,67,57,0,0,0,66,29
331,0,60,25,48,114.3688469,39,21,90,0,0,7,55,80
332,0,63,19,47,50,15,47,57,0,0,0,61,36
333,0,28,23,40,57,63,68,66,14,0,0,21,61
334,6,73,44,25,30,24,55,91,15,0,0,23,21
335,0,73,71,46,55,37,49,43,0,0,0,47,36
336,0,73,19,51,21,64,46,48,0,0,0,36,90
337,0,15,31,23,48,108,13,72,0,0,0,67,50
338,0,44,30,17,102,22,30,19,0,32,0,42,30
339,9,21,18,18,78,0,10,77,0,20,0,88,0
340,0,59,1,30,80,70,29,72,0,0,0,42,0
341,0,90,2,56,39,90,65,64,39,12,1,42,0
342,0,80,0,54,67,55,42,76,8,1,0,42,41
343,0,27,0,3,84,71,52,65,3,17,4,49,32
344,50,85,11,47,63,104,46,65,10,57,2,35,42
345,0,50,9,77,49,84,53,53,24,43,0,21,23
346,0,91,19,28,56,97,54,38,60,0,7,49,2
347,0,66,24,0,51,27,40,58,2,91,0,26,0
348,25,66,13,1,46,24,33,64,0,46,0,0,42
349,1,8,31,19,22,63,41,83,0,110,0,27,38
350,0,68,35,19,67,41,50,88,0,74,0,34,63
351,6,62,0,38,65,3,49,75,15,72,0,40,61
352,18,35,0,61,26,0,34,58,0,63,0,59,61
353,57,80,12,32,91,80,38,50,0,21,0,43,6
354,61,39,0,51,54,102,47,66,0,3,0,17,21
355,23,70,0,51,114,78,81,20,0,1,0,0,45
356,42,39,0,55,0,24,39,56,0,39,5,13,51
357,48,70,15,66,12,31,26,77,14,40,11,72,80
358,44,20,0,52,75,87,46,28,2,26,19,73,16
359,29,34,0,45,42,63,43,70,4,31,13,49,11
360,16,27,0,59,38,29,30,17,0,12,29,8,15
361,48,21,0,13,97,43,24,65,0,73,24,43,9
362,36,26,30,13,53,67,40,62,0,45,22,42,17
363,59,88,0,1,52,1,37,57,7,65,12,9,56
364,55,73,0,49,22,55,44,74,0,61,10,55,59
365,9,33,0,62,61,27,26,33,0,103,17,49,38
366,7,29,0,66,78,32,41,86,0,46,6,48,7
367,33,81,0,55,67,86,23,29,0,2,6,25,22
368,15,48,0,67,114.3688469,48,50,40,0,84,0,54,68
369,57,15,0,54,100,44,19,26,0,86,37,36,79
370,36,47,0,55,71,1,43,35,0,76,54,1,33
371,37,39,0,37,77,53,51,0,0,85,5,42,0
372,8,42,2,76,81,95,14,7,0,78,9,20,0
373,2,75,0,55,83,81,55,18,0,88,3,36,7
374,16,47,0,49,57,70,42,57,0,79,0,22,32
375,54,7,0,34,86,96,55,40,14,101,0,35,58
376,27,0,0,34,59,87,44,32,0,83,4,1,56
377,53,60,5,0,14,89,61,59,0,47,0,45,26
378,30,43,0,15,14,93,38,69,0,0,8,3,37
379,7,72,0,56,20,93,44,62,0,0,0,70,28
380,47,63,8,61,39,67,44,68,0,0,0,84,2
381,41,64,0,48,75,67,30,71,0,0,0,25,36
382,16,76,0,19,39,43,9,97,0,0,11,0,25
383,13,22,0,33,52,73,6,62,7,0,19,4,57
384,46,26,0,70,99,54,79,60,17,0,46,19,22
385,1,60,0,27,59,61,64,65,3,0,9,65,3
386,15,38,0,43,53,106,45,47,0,14,17,33,37
387,16,33,0,11,89,76,25,61,0,24,13,5,47
388,36,12,0,17,54,68,27,31,0,63,15,17,38
389,10,36,0,54,49,87,41,87,0,45,51,47,22
390,32,30,22,33,59,81,21,18,0,64,20,50,20
391,0,12,0,66,50,85,39,62,2,78,7,43,2
392,0,68,0,43,52,87,27,55,3,50,11,22,16
393,17,16,0,20,44,69,22,69,10,57,0,45,53
394,16,0,0,61,24,48,52,66,0,27,0,42,48
395,50,0,0,8,0,74,48,59,0,78,26,21,33
396,35,18,0,0,7,94,15,65,0,99,44,0,4
397,72,76,0,46,19,47,66,67,13,107,89,37,0
398,39,73,0,67,71,35,41,77,0,88,34,44,52
399,59,85,0,60,46,23,57,69,0,106,64,83,15
400,58,88,0,74,58,75,39,62,0,13,51,17,22
401,27,83,0,60,15,86,19,69,12,9,60,58,0
402,47,45,0,55,92,0,17,53,6,0,29,24,22
403,43,41,0,46,67,14,53,66,0,0,0,45,63
404,11,26,0,17,28,71,26,55,0,1,0,33,66
405,1,47,3,16,37,71,32,86,0,23,0,100,30
406,25,61,5,37,56,114,26,43,0,45,0,78,35
407,26,49,0,32,27,121,41,42,26,48,7,43,33
408,12,76,0,36,9,57,34,16,20,40,46,27,42
409,34,52,0,58,7,54,9,52,0,98,87,54,63
410,36,0,1,64,16,65,75,77,1,94,52,57,35
411,31,46,0,69,1,52,44,40,4,83,60,8,22
412,42,23,0,73,0,70,43,73,23,62,74,70,33
413,37,30,5,38,8,122.6049868,54,74,8,5,56,11,26
414,6,13,18,25,6,57,21,60,23,5,81,75,37
415,14,40,0,53,0,56,32,77,80,41,37,24,32
416,0,50,0,65,0,42,51,79,91,42,39,43,58
417,47,47,0,40,0,34,36,93,65,17,17,8,36
418,29,55,0,33,0,55,10,66,0,0,9,0,30
419,25,12,0,5,8,25,1,57,23,0,0,47,23
420,40,56,0,2,41,61,41,36,56,49,12,17,0
421,69,62,0,37,9,15,68,16,37,6,29,6,0
422,16,38,0,85,0,14,66,38,44,6,74,37,27
423,62,15,0,50,0,51,57,55,5,7,1,1,55
424,38,2,0,53,41,53,43,29,22,0,51,0,77
425,37,47,0,68,33,69,18,52,50,50,26,0,45
426,38,50,1,62,10,45,11,13,41,106,31,32,34
427,1,89,3,75,28,92,21,45,34,49,42,0,51
428,24,49,0,45,8,85,25,46,70,89,9,0,57
429,44,55,0,59,15,97,19,75,110,63,19,0,8
430,24,50,0,37,0,101,45,67,61,61,26,0,0
431,26,73,0,43,9,87,34,32,9,69,20,0,35
432,0,46,0,10,0,92,23,70,90,82,82,0,27
433,33,47,0,44,11,101,7,57,57,95,52,14,47
434,35,66,0,40,0,108,7,88,87,104,56,0,33
435,38,50,0,40,0,116,0,68,103,86,61,0,87
436,25,20,0,58,0,88,31,70,52,85,94,0,61
437,51,68,0,44,0,82,10,36,72,47,34,14,50
438,52,43,0,28,3,69,0,76,80,77,0,3,56
439,42,21,0,35,0,80,0,41,101,6,0,0,25
440,11,46,0,11,1,47,1,44,91,0,0,27,56
441,49,37,0,54,0,15,3,69,30,85,17,9,66
442,32,41,0,60,1,79,0,23,46,56,53,17,43
443,43,47,0,61,0,53,0,48,29,2,52,16,80
444,28,19,0,31,0,50,0,52,84,56,38,28,77
445,1,41,0,28,0,100,23,56,119,27,48,17,49
446,30,48,0,23,8,110,0,31,98,44,45,35,42
447,9,34,0,39,6,107,0,56,68,54,17,55,53
448,29,40,0,5,0,102,0,65,60,75,36,1,40
449,42,16,0,54,0,24,6,48,93,85,31,14,68
450,5,10,0,84,0,7,6,49,81,73,12,78,62
451,24,63,0,54,0,7,0,64,103,35,36,73,46
452,0,37,0,40,0,52,1,85,70,58,19,62,44
453,26,2,0,37,0,120,0,48,92,59,24,64,38
454,14,0,0,43,0,86,0,47,102,82,1,39,27
455,2,0,0,38,0,88,0,83,17,57,45,19,39
456,6,0,0,15,6,122.6049868,29,61,0,49,44,32,34
457,23,4,0,54,14,83,9,50,8,58,33,29,3
458,24,12,0,69,0,48,9,30,79,57,9,28,8
459,3,14,0,51,6,2,4,20,86,28,0,52,0
460,26,12,0,55,4,24,4,37,61,64,0,78,26
461,15,0,0,19,0,80,0,48,61,17,0,20,10
462,25,0,0,21,0,33,0,47,93,78,19,30,0
463,44,3,0,35,0,41,38,47,86,47,1,77,25
464,26,3,0,37,0,64,10,61,110,32,4,52,7
465,58,0,0,34,11,35,0,38,33,57,10,70,41
466,34,0,0,28,0,90,19,66,42,9,0,56,9
467,0,0,0,49,0,116,0,92,55,25,0,32,0
468,12,4,0,56,6,109,92.80794454,71,66,4,0,51,0
469,15,0,0,28,0,106,0,61,36,1,5,7,0
470,32,0,0,26,0,99,0,69,16,42,2,20,0
471,20,6,0,23,0,49,0,70,30,59,0,44,0
472,41,0,0,24,4,19,0,89,11,86,0,18,0
473,16,0,0,40,11,53,0,53,0,33,0,0,0
474,55,0,0,11,6,81,0,60,0,12,0,13,0
475,39,0,3,28,0,61,10,26,0,26,0,36,0
476,42,0,33,24,0,99,4,69,0,4,3,86,2
477,9,0,73,0,0,82,0,32,0,62,3,58,0
478,45,0,29,0,1,100,0,68,0,59,0,69,0
479,23,0,0,0,0,107,0,60,44,85,0,62,0
480,46,0,40,0,1,64,0,55,32,70,0,49,0
481,14,0,32,0,0,57,0,48,0,14,0,31,0
482,48,0,31,0,8,48,35,52,0,47,0,93,0
483,34,0,23,0,0,85,40,78,0,75,0,37,0
484,43,0,28,0,0,72,0,81,0,49,0,71,0
485,54,0,0,0,30,99,0,65,0,57,0,50,0
486,28,0,7,0,31,105,0,73,0,0,0,13,0
487,52,0,22,0,1,82,0,48,0,0,35,12,0
488,22,0,0,0,0,0,0,30,0,0,0,36,0
489,42,0,2,0,0,50,0,46,0,31,17,27,0
490,42,0,19,0,0,53,0,69,0,62,19,9,0
491,17,0,49,0,0,60,0,72,0,10,0,27,0
492,0,0,47,0,0,71,6,33,2,66,46,47,0
493,17,0,11,0,3,120,0,82,0,31,57,49,7
494,67,0,0,0,0,102,0,88,2,59,52,18,0
495,28,0,4,0,0,85,0,82,0,43,65,54,0
