time,m1_act,m2_act,m3_act,m4_act,m5_act,m6_act,m7_act,m8_act,m9_act,m10_act,m11_act,m12_act,m13_act,m1_temp,m2_temp,m3_temp,m4_temp,m5_temp,m6_temp,m7_temp,m8_temp,m9_temp,m10_temp,m11_temp,m12_temp,m13_temp,day,hour,is_night,is_estrus,f1_act,f2_act,f3_act,f4_act,f5_act,f6_act,f7_act,f8_act,f9_act,f10_act,f11_act,f12_act,f13_act,f1_temp,f2_temp,f3_temp,f4_temp,f5_temp,f6_temp,f7_temp,f8_temp,f9_temp,f10_temp,f11_temp,f12_temp,f13_temp
20,42.81666666666667,17.0,59.13333333333333,3.8833333333333333,53.8,29.766666666666666,41.28333333333333,2.033333333333333,5.1,1.0833333333333333,2.7333333333333334,24.55,38.06666666666667,37.87566666666667,36.023,37.857,35.982499999999995,37.928666666666665,36.299166666666665,37.0525,35.65983333333334,35.43683333333333,35.5285,36.217333333333336,36.148,37.205000000000005,1,20,True,False,9.716666666666667,55.35,14.133333333333333,2.55,2.15,3.966666666666667,9.363465742333334,2.1666666666666665,51.75,11.683333333333334,19.233333333333334,4.883333333333334,2.9166666666666665,36.633500000000005,38.24466666666667,36.734,36.57283333333333,37.141333333333336,36.30316666666667,36.893,36.44133333333333,37.408833333333334,36.797333333333334,37.98016666666667,36.06883333333334,36.035
21,0.7833333333333333,2.183333333333333,13.85,10.0,10.233333333333333,2.6333333333333333,1.9833333333333334,14.05,12.166666666666666,3.8333333333333335,14.266666666666667,1.75,20.633333333333333,36.059999999999995,35.89266666666666,36.56616666666666,35.803666666666665,36.345166666666664,35.69283333333333,35.74216666666667,36.40933333333333,35.691,35.57233333333333,36.314499999999995,35.91383333333333,36.892500000000005,1,21,True,False,5.0,20.6,1.5333333333333334,15.45,4.816666666666666,20.566666666666666,2.8,1.2,38.11666666666667,6.85,1.4666666666666666,18.45,18.9,36.78433333333333,37.3515,36.6235,36.95133333333333,37.07333333333334,37.026500000000006,36.6945,36.43783333333333,37.33616666666667,36.23633333333333,37.49883333333333,36.376666666666665,36.5995
22,17.766666666666666,11.0,13.5,8.716666666666667,35.36666666666667,11.3,18.166666666666668,11.733333333333333,4.533333333333333,10.8,16.65,22.433333333333334,32.166666666666664,36.8,35.957,36.21066666666666,36.12983333333333,37.100833333333334,35.6105,36.1685,36.40933333333333,35.797333333333334,36.02483333333334,36.42466666666667,36.36516666666667,37.223,1,22,True,False,7.116666666666666,1.9333333333333333,11.966666666666667,12.216666666666667,37.3,2.4833333333333334,16.513465742333334,18.816666666666666,69.3,4.566666666666666,12.616666666666667,1.65,12.783333333333333,36.741166666666665,36.63816666666666,36.88766666666667,37.088,38.00266666666666,36.448499999999996,37.13916666666667,37.17816666666667,37.74766666666667,36.467333333333336,37.647666666666666,35.9345,36.31183333333333
23,12.633333333333333,8.316666666666666,9.566666666666666,18.8,9.283333333333333,19.316666666666666,24.15,8.016666666666667,17.866666666666667,18.568279911666664,26.833333333333332,20.366666666666667,34.55,36.542,36.14183333333334,36.3205,36.27066666666667,36.36416666666666,36.19666666666667,36.26366666666667,36.3515,36.03616666666667,36.07783333333334,36.531,36.287333333333336,37.407333333333334,1,23,True,False,19.95,21.883333333333333,5.8,9.783333333333333,12.666666666666666,7.866666666666666,7.133333333333334,4.066666666666666,63.4,9.366666666666667,15.216666666666667,15.05,12.033333333333333,37.50833333333333,37.07616666666667,36.6365,36.98983333333333,37.663333333333334,36.871833333333335,36.9285,36.41566666666667,37.662166666666664,36.8645,37.81133333333333,36.37466666666667,36.999
24,18.683333333333334,24.083333333333332,24.65,28.95,60.333333333333336,47.96666666666667,15.6,26.716666666666665,28.416666666666668,24.333333333333332,30.116666666666667,24.6,41.78333333333333,36.87766666666666,36.6245,36.488166666666665,36.448166666666665,37.907662318999996,37.04566666666666,36.51833333333333,37.3195,36.5635,36.47683333333334,36.68988310316667,37.19166666666667,37.9925,2,0,False,True,36.11666666666667,52.15,36.71666666666667,32.31666666666667,31.816666666666666,27.533333333333335,33.080132409,29.533333333333335,27.1,39.28333333333333,23.0,15.882118466666666,34.4,38.64066666666667,38.0785,37.863166666666665,37.83116666666667,38.01,37.57683333333333,38.05466666666667,37.26866666666667,37.26916666666667,37.45916666666667,38.02483333333334,36.86516666666667,37.49883333333333
25,53.68333333333333,66.78333333333333,58.9,75.9,30.666666666666668,58.05,64.9,35.1,37.06666666666667,57.88333333333333,69.86666666666666,61.7,49.45,38.242333333333335,37.62733333333333,37.7735,37.99666666666667,37.4445,38.02333333333333,37.894666666666666,38.089666666666666,37.51016666666667,38.075500000000005,37.569833333333335,38.208333333333336,38.271499999999996,2,1,False,True,33.36666666666667,32.0,35.95911438266667,41.81666666666667,62.68948078166667,65.88333333333334,47.1,62.91812474166667,75.35,62.72497766666667,41.65,34.148785133333334,21.483333333333334,38.720666666666666,37.77466666666667,38.15833333333333,38.47633333333333,38.97566666666667,38.46066666666666,38.73966666666667,38.274,37.972833333333334,37.993500000000004,38.491499999999995,37.41416666666667,37.79566666666666
26,60.11666666666667,46.983333333333334,47.5,69.38333333333334,59.53333333333333,56.36666666666667,58.733333333333334,32.583333333333336,30.85,59.78333333333333,51.266666666666666,50.45,33.63333333333333,38.208999999999996,38.01083333333334,37.72033333333333,37.81783333333333,37.88783333333333,37.97566666666667,37.956,37.91683333333334,37.473166666666664,38.318999999999996,37.743833333333335,38.107499999999995,37.9605,2,2,False,True,32.416666666666664,39.0,36.134895432,45.75,76.51229489666666,62.766666666666666,45.45,58.733333333333334,63.4,61.55,40.6,26.55,30.266666666666666,38.61833333333333,37.77916666666667,38.13883333333333,38.566500000000005,39.074,38.3645,38.808166666666665,38.42183333333333,37.90133333333333,38.06433333333334,37.93383333333334,37.28733333333333,37.765499999999996
27,45.36666666666667,37.88333333333333,33.166666666666664,74.71666666666667,60.06666666666667,27.3,52.8,19.233333333333334,44.49819376333333,61.916666666666664,42.35,41.28333333333333,43.13333333333333,37.90433333333333,38.04383333333333,37.37516666666667,37.7295,37.982,37.2825,37.86366666666667,37.36666666666667,37.178666666666665,38.174499999999995,37.787666666666674,37.71,38.01583333333333,2,3,False,True,15.733333333333333,66.93527564666667,34.233333333333334,41.416666666666664,65.83333333333333,56.53333333333333,47.266666666666666,68.06666666666666,68.43333333333334,50.02497766666667,32.666666666666664,29.132118466666668,31.616666666666667,38.16283333333333,38.39966666666667,38.342333333333336,38.468333333333334,39.04833333333333,38.32383333333333,38.844,38.48766666666667,37.9095,37.934666666666665,37.74633333333333,37.1975,38.022166666666664
28,51.583333333333336,49.7,16.516666666666666,67.75,60.03333333333333,25.0,63.36161324,36.38333333333333,20.783333333333335,55.96666666666667,15.983333333333333,53.53333333333333,33.63333333333333,37.7915,37.85166666666667,36.36466666666667,37.527833333333334,37.86333333333334,37.0145,37.852666666666664,37.61533333333333,36.8405,38.012166666666666,37.116499999999995,37.4465,37.55416666666667,2,4,False,True,32.483333333333334,68.23333333333333,38.551562098666665,48.333333333333336,64.97281411499999,53.36666666666667,47.95,49.56666666666667,66.45,45.583333333333336,9.566666666666666,22.466666666666665,6.416666666666667,38.60166666666667,38.29966666666667,38.251999999999995,38.550333333333334,38.930166666666665,38.30983333333334,38.841499999999996,38.333666666666666,37.94083333333333,37.84916666666666,37.63983333333333,37.28333333333333,37.50716666666666
29,33.55,56.766666666666666,46.960420688333336,73.53333333333333,58.86666666666667,25.516666666666666,67.46666666666667,42.95,42.43333333333333,52.666666666666664,51.06666666666667,61.416666666666664,8.6,37.3985,37.910833333333336,37.44616666666666,37.57566666666666,37.866162319,36.917,38.019666666666666,37.77166666666667,37.25416666666667,37.97633333333333,37.66319907933334,37.37133333333334,36.598,2,5,False,True,28.6,68.05194231333333,38.36666666666667,44.416666666666664,73.03333333333333,67.49341644666667,51.780132409,52.68333333333333,61.333333333333336,27.8,23.566666666666666,36.21666666666667,27.216666666666665,38.6115,38.34216666666667,38.23583333333333,38.50416666666667,38.99,38.37566666666667,38.96566666666667,38.40333333333333,37.824,37.290499999999994,37.67616666666667,37.37133333333334,37.63183333333333
